City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Inirida,3.8653,-67.9239,79.18,92,28,0.81,CO,2021-07-12 22:05:47
Sitka,57.0531,-135.33,57.09,88,90,10.36,US,2021-07-12 22:05:47
Murray,40.6669,-111.888,104.61,18,1,1.99,US,2021-07-12 22:05:47
Lorengau,-2.0226,147.2712,83.84,75,53,13.02,PG,2021-07-12 22:05:47
Pacific Grove,36.6177,-121.9166,94.6,83,40,4.0,US,2021-07-12 22:05:48
Mykhaylivka,47.2724,35.2224,66.47,86,99,9.75,UA,2021-07-12 22:05:48
Victoria,22.2855,114.1577,86.32,83,100,4.0,HK,2021-07-12 22:02:47
Shirokiy,49.758,129.523,72.21,84,76,8.55,RU,2021-07-12 22:05:48
Guiyang,26.5833,106.7167,69.28,93,49,8.5,CN,2021-07-12 22:05:49
Lebu,-37.6167,-73.65,49.44,80,0,8.01,CL,2021-07-12 22:05:49
Sobolevo,54.4299,31.8996,69.44,83,29,2.35,RU,2021-07-12 22:05:49
Awjilah,29.1081,21.2869,89.6,26,0,6.58,LY,2021-07-12 22:05:49
Negombo,7.2083,79.8358,82.45,83,40,9.22,LK,2021-07-12 22:05:50
Bredasdorp,-34.5322,20.0403,46.27,82,94,19.64,ZA,2021-07-12 22:05:50
Mnogovershinnyy,53.9353,139.9242,63.09,90,100,2.55,RU,2021-07-12 22:05:50
Baruun-Urt,46.6806,113.2792,65.7,80,100,6.06,MN,2021-07-12 22:05:51
Dasoguz,41.8363,59.9666,73.51,25,4,7.67,TM,2021-07-12 22:05:51
Gemena,3.25,19.7667,69.71,96,60,2.95,CD,2021-07-12 22:05:51
Plouzane,48.3833,-4.6167,59.05,91,75,5.75,FR,2021-07-12 22:05:51
San Patricio,28.017,-97.5169,92.12,64,100,12.84,US,2021-07-12 22:05:52
Portobelo,9.55,-79.65,80.96,84,100,6.08,PA,2021-07-12 22:05:52
Nara,34.6851,135.8049,77.5,94,7,1.23,JP,2021-07-12 22:05:52
Boyuibe,-20.4167,-63.2833,84.11,46,90,12.37,BO,2021-07-12 22:05:52
Fukue,32.6881,128.8419,79.52,92,87,8.79,JP,2021-07-12 22:05:53
Ouidah,6.3631,2.0851,77.81,81,60,11.16,BJ,2021-07-12 22:05:53
La Libertad,-2.2333,-80.9,73.06,78,75,11.5,EC,2021-07-12 22:05:53
Staryy Nadym,65.6118,72.6842,43.97,72,96,8.59,RU,2021-07-12 22:05:53
Roald,62.5833,6.1333,63.16,88,75,2.3,NO,2021-07-12 22:05:54
Chuy,-33.6971,-53.4616,59.56,88,99,6.71,UY,2021-07-12 22:05:54
Tromso,69.6496,18.957,58.37,72,75,1.99,NO,2021-07-12 22:05:54
Kijang,35.2442,129.2139,82.13,92,100,4.94,KR,2021-07-12 22:05:55
Tari,12.4086,4.4914,71.33,85,100,26.55,NG,2021-07-12 22:05:55
Ukiah,39.1502,-123.2078,108.52,21,1,3.0,US,2021-07-12 22:05:55
Maldonado,-34.6667,-54.9167,62.22,90,100,5.26,UY,2021-07-12 22:05:55
Cockburn Town,21.4612,-71.1419,81.97,84,78,23.26,TC,2021-07-12 22:05:56
Westlock,54.1502,-113.8688,84.11,26,33,6.08,CA,2021-07-12 22:05:56
Mallow,52.1333,-8.6333,60.03,96,42,8.25,IE,2021-07-12 22:04:31
Srandakan,-7.9386,110.2506,56.73,91,55,4.92,ID,2021-07-12 22:05:56
Innisfail,-17.5333,146.0333,69.26,86,99,4.94,AU,2021-07-12 22:01:41
Malazgirt,39.1427,42.5401,64.83,36,1,3.4,TR,2021-07-12 22:05:57
Gornyak,50.9942,81.4661,60.71,84,80,7.52,RU,2021-07-12 22:05:57
Parral,26.9333,-105.6667,80.6,29,94,14.47,MX,2021-07-12 22:04:56
Berlevag,70.8578,29.0864,51.76,89,100,18.28,NO,2021-07-12 22:05:57
Muzaffarpur,26.1167,85.4,78.73,72,14,5.1,IN,2021-07-12 22:05:58
Biedenkopf,50.9167,8.5333,65.1,84,80,2.86,DE,2021-07-12 22:05:58
Hami,42.8,93.45,79.25,28,94,14.25,CN,2021-07-12 22:05:58
Norman Wells,65.282,-126.8329,78.85,24,9,5.59,CA,2021-07-12 22:05:58
Puerto Escondido,15.85,-97.0667,85.03,61,40,0.0,MX,2021-07-12 22:05:59
Ostrovnoy,68.0531,39.5131,53.19,87,100,9.44,RU,2021-07-12 22:05:59
Sembe,1.6481,14.5806,71.67,94,100,2.71,CG,2021-07-12 22:05:59
Trinidad,-14.8333,-64.9,84.18,51,20,0.0,BO,2021-07-12 22:06:00
Jizan,17.3333,42.6667,89.82,50,93,5.79,SA,2021-07-12 22:06:00
Bereznik,62.8551,42.7072,63.43,97,96,2.71,RU,2021-07-12 22:06:00
Zaozerne,45.1582,33.2787,72.95,84,22,12.62,UA,2021-07-12 22:06:00
Severnoye,56.3491,78.3619,57.85,96,33,6.67,RU,2021-07-12 22:06:01
Tshikapa,-6.4167,20.8,68.47,25,46,2.21,CD,2021-07-12 22:06:01
Zelenogorskiy,55.0333,87.0,57.72,98,89,2.55,RU,2021-07-12 22:06:01
Aquiraz,-3.9014,-38.3911,82.49,82,61,14.29,BR,2021-07-12 22:06:02
Nong Phai,15.9903,101.0618,76.14,89,48,1.81,TH,2021-07-12 22:06:02
Catuday,16.2923,119.8062,80.31,80,100,8.86,PH,2021-07-12 22:06:02
Boguchany,58.3814,97.4531,58.41,79,29,2.1,RU,2021-07-12 22:06:02
Mecca,21.4267,39.8261,89.92,26,55,6.78,SA,2021-07-12 22:01:49
Yeppoon,-23.1333,150.7333,58.78,88,53,11.34,AU,2021-07-12 22:06:03
Belaya Gora,68.5333,146.4167,50.83,50,98,5.59,RU,2021-07-12 22:06:03
Troitsko-Pechorsk,62.7084,56.1964,42.58,82,11,3.85,RU,2021-07-12 22:06:03
Jhawarian,32.3614,72.6228,82.17,77,100,1.5,PK,2021-07-12 22:06:04
Mugur-Aksy,50.35,90.5,47.39,84,15,5.88,RU,2021-07-12 22:06:04
Opuwo,-18.0607,13.84,55.81,39,4,5.32,NA,2021-07-12 22:06:04
Ribeira Grande,38.5167,-28.7,68.86,74,36,10.69,PT,2021-07-12 22:05:43
Jaleswar,26.6471,85.8008,83.64,76,24,5.57,NP,2021-07-12 22:06:05
Cam Ranh,11.9214,109.1591,76.96,88,20,4.61,VN,2021-07-12 22:06:05
Atasu,48.6814,71.6433,60.96,74,49,8.37,KZ,2021-07-12 22:06:05
Nouadhibou,20.931,-17.0347,68.09,94,6,17.25,MR,2021-07-12 22:06:06
Maunabo,18.0072,-65.8993,85.64,86,52,13.58,PR,2021-07-12 22:06:06
Mount Vernon,40.9126,-73.8371,82.29,84,90,7.0,US,2021-07-12 22:06:06
Ambon,-3.6954,128.1814,77.14,94,40,1.14,ID,2021-07-12 22:06:07
Voh,-20.9667,164.7,67.95,75,81,4.03,NC,2021-07-12 22:06:07
Ascension,30.2169,-90.9001,86.09,78,1,0.0,US,2021-07-12 22:06:07
Colares,38.7992,-9.4469,64.29,72,0,11.99,PT,2021-07-12 22:06:07
Provideniya,64.3833,-173.3,46.51,81,0,11.18,RU,2021-07-12 22:06:08
Okhotsk,59.3833,143.3,55.47,91,100,1.16,RU,2021-07-12 22:06:08
Goragorskiy,43.5031,45.0792,66.42,36,73,5.39,RU,2021-07-12 22:06:08
Palmer,42.1584,-72.3287,71.47,84,90,1.01,US,2021-07-12 22:05:04
Kesova Gora,57.5836,37.2922,65.66,68,4,4.85,RU,2021-07-12 22:06:09
Kununurra,-15.7667,128.7333,55.38,82,66,0.0,AU,2021-07-12 22:02:56
Pauini,-7.7136,-66.9764,83.37,44,0,0.36,BR,2021-07-12 22:06:09
Marawi,7.9986,124.2928,68.65,92,79,3.49,PH,2021-07-12 22:06:09
Launceston,-41.45,147.1667,49.64,94,90,3.0,AU,2021-07-12 22:06:10
Rohnert Park,38.3396,-122.7011,100.58,44,1,5.99,US,2021-07-12 22:05:05
Urusha,54.05,122.9,58.03,99,100,6.11,RU,2021-07-12 22:06:10
Xinzhou,38.4092,112.7333,66.96,80,21,0.25,CN,2021-07-12 22:06:10
Serenje,-13.2325,30.2352,51.57,84,0,4.38,ZM,2021-07-12 22:06:10
Manokwari,-0.8667,134.0833,78.91,74,71,3.27,ID,2021-07-12 22:06:11
Antsohihy,-14.8796,47.9875,69.49,61,0,10.45,MG,2021-07-12 22:06:11
Grand Gaube,-20.0064,57.6608,70.38,64,1,5.01,MU,2021-07-12 22:06:11
Charters Towers,-20.1,146.2667,59.11,86,18,6.58,AU,2021-07-12 22:06:12
Njombe,-9.3333,34.7667,46.24,92,4,3.53,TZ,2021-07-12 22:06:12
Naryan-Mar,67.6713,53.087,37.8,91,2,4.5,RU,2021-07-12 22:06:12
Inhambane,-23.865,35.3833,66.07,79,0,9.82,MZ,2021-07-12 22:06:12
Tolaga Bay,-38.3667,178.3,51.42,81,100,21.72,NZ,2021-07-12 22:06:13
Cape Canaveral,28.4058,-80.6048,86.07,79,75,11.99,US,2021-07-12 22:06:13
San Onofre,9.7359,-75.5263,83.08,85,46,10.25,CO,2021-07-12 22:06:13
Abu Samrah,35.3029,37.1841,77.31,56,0,9.84,SY,2021-07-12 22:06:13
Kalga,50.9251,118.898,63.97,99,100,2.37,RU,2021-07-12 22:06:14
Kenai,60.5544,-151.2583,63.03,73,90,3.44,US,2021-07-12 22:06:14
Kavaratti,10.5669,72.642,82.53,81,95,21.74,IN,2021-07-12 22:06:14
Imbituba,-28.24,-48.6703,66.81,89,100,12.62,BR,2021-07-12 22:02:00
Polis,35.0367,32.4264,76.82,44,0,3.6,CY,2021-07-12 22:06:15
Knysna,-34.0363,23.0471,46.78,75,88,21.32,ZA,2021-07-12 22:06:15
Hamilton,39.1834,-84.5333,85.98,70,40,1.01,US,2021-07-12 22:03:54
Niquelandia,-14.4739,-48.4597,72.75,35,0,4.0,BR,2021-07-12 22:01:46
Amalapuram,16.5833,82.0167,77.56,92,100,4.74,IN,2021-07-12 22:06:15
Siderno,38.2779,16.302,80.33,43,0,5.75,IT,2021-07-12 22:06:16
Miyoshi,35.0833,137.0667,74.86,81,0,3.2,JP,2021-07-12 22:06:16
Juneau,58.3019,-134.4197,57.25,98,100,8.01,US,2021-07-12 22:01:41
Jijiga,9.35,42.8,64.76,71,100,9.31,ET,2021-07-12 22:06:16
Nuuk,64.1835,-51.7216,48.81,76,70,9.22,GL,2021-07-12 22:06:17
Bambanglipuro,-7.95,110.2833,56.61,91,51,4.85,ID,2021-07-12 22:06:17
Aswan,24.0934,32.907,92.97,18,3,11.18,EG,2021-07-12 22:06:17
Nagato,34.3833,131.2,76.95,90,92,5.17,JP,2021-07-12 22:06:18
Okha,53.5739,142.9478,61.3,94,100,5.99,RU,2021-07-12 22:06:18
Barcelos,41.5388,-8.6151,61.92,91,81,7.47,PT,2021-07-12 22:05:33
Binzhou,37.3667,118.0167,80.31,86,68,11.3,CN,2021-07-12 22:05:36
Polunochnoye,60.8697,60.4153,45.18,74,9,5.03,RU,2021-07-12 22:06:18
Baker City,44.7749,-117.8344,93.16,18,1,10.36,US,2021-07-12 22:06:19
Pangnirtung,66.1451,-65.7125,48.2,87,90,8.05,CA,2021-07-12 22:06:19
Denpasar,-8.65,115.2167,78.46,94,20,10.36,ID,2021-07-12 22:02:27
Mersing,2.4312,103.8405,76.46,90,100,4.52,MY,2021-07-12 22:06:19
Skelleftea,64.7507,20.9528,62.01,63,12,2.3,SE,2021-07-12 22:06:19
Mareeba,-17.0,145.4333,67.48,91,30,2.64,AU,2021-07-12 22:06:20
Constitucion,-35.3333,-72.4167,51.08,79,37,2.51,CL,2021-07-12 22:06:20
Hay River,60.8156,-115.7999,69.69,38,6,1.36,CA,2021-07-12 22:06:20
Dhidhdhoo,6.8833,73.1,81.81,79,100,15.95,MV,2021-07-12 22:06:20
Soe,-9.8607,124.284,58.41,79,6,4.79,ID,2021-07-12 22:06:21
Lipin Bor,60.2622,37.9763,64.58,76,15,5.39,RU,2021-07-12 22:06:21
Ventspils,57.3894,21.5606,69.73,78,0,4.61,LV,2021-07-12 22:04:43
Bathsheba,13.2167,-59.5167,83.01,74,40,20.71,BB,2021-07-12 22:06:21
Ahome,25.9167,-109.1833,95.14,50,93,5.99,MX,2021-07-12 22:06:22
Rio Gallegos,-51.6226,-69.2181,35.65,75,0,25.32,AR,2021-07-12 22:06:22
Ilulissat,69.2167,-51.1,51.82,54,20,6.91,GL,2021-07-12 22:06:22
Zhigansk,66.7697,123.3711,55.47,73,100,4.5,RU,2021-07-12 22:06:22
Sarahan,31.5167,77.8,62.28,89,68,1.34,IN,2021-07-12 22:06:23
Port Hawkesbury,45.6169,-61.3485,67.91,66,64,7.0,CA,2021-07-12 22:06:23
Wamba,8.9333,8.6,71.83,95,96,2.59,NG,2021-07-12 22:06:23
Yecla,38.6137,-1.1147,84.36,22,56,10.11,ES,2021-07-12 22:06:23
Nueva Gerona,21.8833,-82.8,85.08,67,71,9.1,CU,2021-07-12 22:06:24
El Tocuyo,9.7873,-69.7937,82.26,61,66,7.58,VE,2021-07-12 22:06:24
Upata,8.0086,-62.3989,75.2,93,100,5.5,VE,2021-07-12 22:06:24
Kologriv,58.8275,44.3178,65.5,78,34,5.1,RU,2021-07-12 22:06:25
Beloha,-25.1667,45.05,65.68,70,0,7.09,MG,2021-07-12 22:06:25
Northam,51.0333,-4.2167,61.66,95,16,12.03,GB,2021-07-12 22:06:25
Gawler,-34.6,138.7333,52.92,86,100,5.48,AU,2021-07-12 22:06:25
Agadir,30.4202,-9.5982,84.65,51,71,3.58,MA,2021-07-12 22:06:26
Darhan,49.4867,105.9228,58.93,86,97,4.23,MN,2021-07-12 22:06:26
Bud,39.447,-86.1758,84.22,71,96,8.52,US,2021-07-12 22:06:26
Kinablangan,7.6947,126.5503,76.33,94,100,5.48,PH,2021-07-12 22:06:26
Semnan,35.5729,53.3971,83.01,42,0,9.37,IR,2021-07-12 22:06:27
Dwarka,22.2394,68.9678,83.35,82,99,11.25,IN,2021-07-12 22:06:27
Mumford,5.2618,-0.759,76.1,82,11,9.6,GH,2021-07-12 22:06:27
Coos Bay,43.3665,-124.2179,92.86,75,75,28.77,US,2021-07-12 22:06:27
Saurimo,-9.6608,20.3916,58.82,38,32,4.21,AO,2021-07-12 22:06:28
Viedma,-40.8135,-62.9967,45.7,60,0,5.23,AR,2021-07-12 22:06:28
Ternate,0.8,127.4,79.7,82,34,2.75,ID,2021-07-12 22:06:28
Cantagallo,7.376,-73.9196,90.52,62,5,2.04,CO,2021-07-12 22:06:29
Coquimbo,-29.9533,-71.3436,55.47,81,96,3.65,CL,2021-07-12 22:03:16
Ormond Beach,29.2858,-81.0559,86.09,63,40,11.5,US,2021-07-12 22:05:32
Aklavik,68.2191,-135.0107,76.41,28,82,11.9,CA,2021-07-12 22:06:29
Arman,59.7,150.1667,51.57,93,100,2.17,RU,2021-07-12 22:06:29
Port Macquarie,-31.4333,152.9167,49.37,81,9,4.59,AU,2021-07-12 22:06:29
Magam,34.0833,74.5833,64.24,89,72,1.79,IN,2021-07-12 22:06:30
Novoanninskiy,50.5287,42.6747,63.43,67,0,6.15,RU,2021-07-12 22:06:30
Nishihara,26.1842,127.7558,81.68,83,75,4.61,JP,2021-07-12 22:06:30
Soure,-0.7167,-48.5233,78.19,85,88,10.76,BR,2021-07-12 22:06:31
Tuy Hoa,13.0833,109.3,76.14,92,90,4.25,VN,2021-07-12 22:06:31
Bourail,-21.5667,165.4833,67.08,74,87,5.41,NC,2021-07-12 22:06:31
Gillette,44.2911,-105.5022,84.24,22,1,7.0,US,2021-07-12 22:06:31
Marinette,45.1,-87.6307,81.3,60,1,9.22,US,2021-07-12 22:06:32
Tamandare,-8.7597,-35.1047,75.58,80,0,8.16,BR,2021-07-12 22:06:32
Sorland,67.667,12.6934,59.07,93,96,15.39,NO,2021-07-12 22:06:32
Ndola,-12.9587,28.6366,42.73,75,28,3.0,ZM,2021-07-12 22:06:32
Marystown,47.1666,-55.1483,62.85,100,38,10.0,CA,2021-07-12 22:06:33
Yamada,39.4667,141.95,69.3,95,65,2.3,JP,2021-07-12 22:06:33
Nikolsk,53.7189,46.0712,57.4,82,1,1.32,RU,2021-07-12 22:06:33
Southbridge,42.0751,-72.0334,70.84,97,99,7.54,US,2021-07-12 22:04:39
Marataizes,-21.0433,-40.8244,69.66,85,0,7.58,BR,2021-07-12 22:06:34
Sao Filipe,14.8961,-24.4956,73.29,80,100,4.29,CV,2021-07-12 22:06:34
Whitehorse,60.7161,-135.0538,63.01,55,100,15.99,CA,2021-07-12 22:06:34
Lugovoy,42.9472,72.7644,71.71,34,28,7.2,KZ,2021-07-12 22:06:34
Pocosol,10.3667,-84.6167,82.81,91,100,4.59,CR,2021-07-12 22:06:35
Zhezkazgan,47.8043,67.7144,66.09,54,84,8.84,KZ,2021-07-12 22:06:35
Varkaus,62.3153,27.873,66.31,66,6,3.74,FI,2021-07-12 22:06:35
Antofagasta,-23.65,-70.4,60.08,81,100,4.97,CL,2021-07-12 22:06:35
Sisimiut,66.9395,-53.6735,46.0,63,0,4.16,GL,2021-07-12 22:06:36
Alekseyevsk,57.8406,108.3492,60.17,75,1,1.05,RU,2021-07-12 22:06:36
Srednekolymsk,67.45,153.6833,40.68,88,100,8.21,RU,2021-07-12 22:06:36
Bermejo,-32.8833,-68.8,58.95,51,0,5.93,AR,2021-07-12 22:06:37
Samarai,-10.6167,150.6667,79.48,84,50,13.35,PG,2021-07-12 22:06:37
Peniche,39.3558,-9.3811,63.88,85,0,22.1,PT,2021-07-12 22:06:37
Borogontsy,62.6683,131.1683,63.63,54,21,4.09,RU,2021-07-12 22:06:37
Bodden Town,19.2833,-81.25,88.0,69,20,8.01,KY,2021-07-12 22:06:38
Swellendam,-34.0226,20.4417,43.56,91,92,13.8,ZA,2021-07-12 22:06:38
Rolla,37.9514,-91.7713,77.14,86,90,3.0,US,2021-07-12 22:02:19
Debar,41.525,20.5275,65.62,71,46,1.66,MK,2021-07-12 22:06:38
Dudinka,69.4058,86.1778,36.18,79,100,11.21,RU,2021-07-12 22:06:39
Careiro Da Varzea,-3.2003,-59.8119,84.83,76,91,1.74,BR,2021-07-12 22:06:39
Datong,40.0936,113.2914,65.64,86,98,0.22,CN,2021-07-12 22:06:39
Meadow Lake,34.8014,-106.5436,93.81,29,4,9.73,US,2021-07-12 22:02:20
Porto Novo,6.4965,2.6036,77.23,82,67,8.14,BJ,2021-07-12 22:03:52
Goderich,43.7501,-81.7165,77.2,77,100,10.13,CA,2021-07-12 22:04:17
Penzance,50.1186,-5.5371,59.68,94,34,11.77,GB,2021-07-12 22:06:40
Saldanha,-33.0117,17.9442,51.51,60,90,24.05,ZA,2021-07-12 22:06:40
Mayo,38.8876,-76.5119,93.74,67,1,1.99,US,2021-07-12 22:06:40
Husavik,66.0449,-17.3389,60.69,66,59,6.53,IS,2021-07-12 22:06:40
La Ronge,55.1001,-105.2842,62.82,82,90,11.5,CA,2021-07-12 22:06:41
Lawrenceburg,38.0373,-84.8966,83.12,69,75,10.36,US,2021-07-12 22:06:41
Mount Isa,-20.7333,139.5,44.37,61,54,0.0,AU,2021-07-12 22:06:41
Brenham,30.1669,-96.3977,82.89,69,1,5.75,US,2021-07-12 22:02:31
Almansa,38.8692,-1.0971,79.65,24,28,7.96,ES,2021-07-12 22:06:42
Vostok,46.4856,135.8833,71.85,75,2,0.76,RU,2021-07-12 22:06:42
Margate,51.3813,1.3862,63.3,96,97,1.01,GB,2021-07-12 22:06:42
Natal,-5.795,-35.2094,76.68,80,65,12.19,BR,2021-07-12 22:04:06
Camacari,-12.6975,-38.3242,74.97,91,61,5.1,BR,2021-07-12 22:06:42
Goksun,38.021,36.4973,70.75,41,0,6.08,TR,2021-07-12 22:06:43
Pasan,22.85,82.2,76.1,85,82,2.82,IN,2021-07-12 22:06:43
Lodja,-3.4833,23.4333,69.87,30,54,1.99,CD,2021-07-12 22:06:43
Harper,4.375,-7.7169,76.64,78,75,10.67,LR,2021-07-12 22:06:43
Zharkent,44.1628,80.0,67.39,49,34,6.76,KZ,2021-07-12 22:06:44
Asfi,32.2994,-9.2372,69.96,73,96,20.22,MA,2021-07-12 22:06:44
Znamenskoye,57.1281,73.8282,53.22,98,100,11.52,RU,2021-07-12 22:06:44
Kwinana,-32.25,115.7667,64.24,79,27,30.62,AU,2021-07-12 22:06:45
Gushikawa,26.3544,127.8686,81.63,89,1,3.44,JP,2021-07-12 22:06:45
Praia,14.9215,-23.5087,75.74,69,75,9.22,CV,2021-07-12 22:05:39
Port Elizabeth,-33.918,25.5701,53.1,58,0,20.71,ZA,2021-07-12 22:06:45
Wagga Wagga,-35.1167,147.3667,41.59,100,65,4.61,AU,2021-07-12 22:06:45
Christchurch,-43.5333,172.6333,42.03,85,20,1.99,NZ,2021-07-12 22:03:43
Sarkand,45.41,79.9186,66.58,38,5,8.95,KZ,2021-07-12 22:06:46
Valparaiso,-33.0393,-71.6273,56.84,75,75,4.61,CL,2021-07-12 22:06:46
Brae,60.3964,-1.353,57.11,93,88,4.43,GB,2021-07-12 22:06:46
Yulara,-25.2406,130.9889,51.64,54,96,4.61,AU,2021-07-12 22:06:47
Thinadhoo,0.5333,72.9333,81.43,75,90,5.35,MV,2021-07-12 22:06:47
Suozhen,36.9539,118.1047,80.96,84,100,8.88,CN,2021-07-12 22:06:47
Burnie,-41.0667,145.9167,49.91,89,38,2.33,AU,2021-07-12 22:06:48
Antonovo,43.15,26.1667,61.57,69,0,3.6,BG,2021-07-12 22:06:48
Dobra,44.7833,25.7167,74.75,62,2,5.53,RO,2021-07-12 22:06:48
Majitha,31.7583,74.9544,76.89,94,40,4.61,IN,2021-07-12 22:06:48
Asau,46.4333,26.4,68.4,89,11,4.21,RO,2021-07-12 22:06:49
Gao,16.6362,1.637,86.85,46,86,17.6,ML,2021-07-12 22:06:49
Xapuri,-10.6517,-68.5044,90.25,43,45,2.55,BR,2021-07-12 22:06:49
Nova Russas,-4.7067,-40.5631,85.71,37,57,8.3,BR,2021-07-12 22:06:50
Hofn,64.2539,-15.2082,53.1,98,100,11.77,IS,2021-07-12 22:06:50
Hualmay,-11.0964,-77.6139,65.71,76,97,11.14,PE,2021-07-12 22:06:50
Shingu,33.7333,135.9833,74.91,76,4,2.1,JP,2021-07-12 22:06:50
Atar,20.5169,-13.0499,97.65,24,74,3.04,MR,2021-07-12 22:06:51
Vestmanna,62.1564,-7.1664,49.12,100,90,5.75,FO,2021-07-12 22:06:51
San Cristobal,7.7669,-72.225,75.38,59,35,5.64,VE,2021-07-12 22:06:51
Bangkalan,-7.0455,112.7351,73.35,85,56,1.54,ID,2021-07-12 22:06:51
Aljezur,37.3191,-8.8033,62.71,76,0,18.05,PT,2021-07-12 22:06:52
Dzhebariki-Khaya,62.2167,135.8,58.86,67,96,2.62,RU,2021-07-12 22:06:52
Mwense,-10.3845,28.698,60.19,55,14,3.47,ZM,2021-07-12 22:06:52
Itarema,-2.9248,-39.9167,79.79,79,92,17.49,BR,2021-07-12 22:06:53
Eureka,40.8021,-124.1637,68.13,77,51,4.0,US,2021-07-12 22:06:53
Lasa,46.6166,10.7002,66.94,95,91,5.44,IT,2021-07-12 22:06:53
Sulangan,11.1373,123.7228,83.68,77,100,5.82,PH,2021-07-12 22:06:53
Punta Alta,-38.8759,-62.0736,48.43,58,28,7.61,AR,2021-07-12 22:06:54
Gombong,-7.6072,109.5142,71.83,93,60,2.95,ID,2021-07-12 22:06:54
Hoshiarpur,31.5322,75.9172,81.63,66,77,5.99,IN,2021-07-12 22:06:54
Bagdarin,54.4333,113.6,55.89,90,45,3.27,RU,2021-07-12 22:06:54
Nacala,-14.5428,40.6728,69.57,93,7,5.5,MZ,2021-07-12 22:06:55
Santa Helena,-2.2311,-45.3,76.77,85,100,3.51,BR,2021-07-12 22:06:55
Yenagoa,4.9247,6.2642,75.02,93,100,4.05,NG,2021-07-12 22:06:55
Ushtobe,45.2514,77.9838,71.26,38,1,7.96,KZ,2021-07-12 22:06:56
Okhtyrka,50.3104,34.8988,69.8,81,78,4.85,UA,2021-07-12 22:06:56
Kasongo-Lunda,-6.4667,16.8167,69.31,25,97,2.04,CD,2021-07-12 22:06:56
Yerbogachen,61.2767,108.0108,59.83,72,100,2.06,RU,2021-07-12 22:06:56
Mega,4.05,38.3,62.53,59,100,22.44,ET,2021-07-12 22:06:57
Zaria,11.1113,7.7227,69.53,89,56,7.83,NG,2021-07-12 22:03:33
San Juan Del Parana,-27.3,-55.9667,71.65,64,0,3.44,PY,2021-07-12 22:06:57
Quatre Cocos,-20.2078,57.7625,70.09,64,28,16.75,MU,2021-07-12 22:06:57
Faya,18.3851,42.4509,70.32,38,100,4.16,SA,2021-07-12 22:06:58
Englewood,39.6478,-104.9878,95.34,20,20,1.01,US,2021-07-12 22:06:58
Kieta,-6.2167,155.6333,80.64,80,99,5.21,PG,2021-07-12 22:06:58
Riviera Beach,26.7753,-80.0581,83.07,82,75,1.99,US,2021-07-12 22:06:58
Aksarayskiy,46.7924,48.0119,78.75,26,0,12.1,RU,2021-07-12 22:06:59
Den Helder,52.9599,4.7593,67.06,94,90,8.01,NL,2021-07-12 22:06:59
Brownsville,25.9018,-97.4975,91.89,63,20,7.0,US,2021-07-12 22:04:03
Manacapuru,-3.2997,-60.6206,84.78,84,97,3.4,BR,2021-07-12 22:06:59
Ambasamudram,8.7,77.4667,78.15,76,99,7.4,IN,2021-07-12 22:07:00
Xichang,27.8964,102.2634,65.68,95,98,0.27,CN,2021-07-12 22:07:00
Tezu,27.9167,96.1667,75.81,87,19,3.44,IN,2021-07-12 22:07:00
Talara,-4.5772,-81.2719,74.16,73,0,14.97,PE,2021-07-12 22:07:01
Saint Anthony,45.0205,-93.218,85.71,41,1,1.99,US,2021-07-12 22:07:01
Sitrah,26.1547,50.6206,98.6,45,0,1.99,BH,2021-07-12 22:07:01
Sankheda,22.1667,73.5833,83.03,80,100,7.47,IN,2021-07-12 22:07:02
Oneida,43.2001,-75.4663,78.44,85,90,5.01,US,2021-07-12 22:07:02
Nyrob,60.733,56.7202,43.9,77,4,4.76,RU,2021-07-12 22:07:02
Aksu,41.1231,80.2644,73.96,35,90,2.84,CN,2021-07-12 22:07:02
Havoysund,70.9963,24.6622,52.68,91,69,17.96,NO,2021-07-12 22:07:03
Poum,-20.2333,164.0167,69.91,74,20,7.63,NC,2021-07-12 22:07:03
Cabra,37.4725,-4.4421,80.04,29,0,5.03,ES,2021-07-12 22:07:03
Zhanakorgan,43.9098,67.2495,79.63,38,76,7.05,KZ,2021-07-12 22:07:04
Huayang,34.4155,109.9939,65.62,74,2,2.91,CN,2021-07-12 22:07:04
Albania,41.0,20.0,72.79,48,0,4.14,AL,2021-07-12 22:07:04
Severnyy,50.677,36.5532,71.64,60,0,4.47,RU,2021-07-12 22:07:05
Juba,4.8517,31.5825,68.32,91,41,3.33,SS,2021-07-12 22:07:05
Bom Jesus,-9.0744,-44.3586,83.46,33,61,6.26,BR,2021-07-12 22:07:05
Villa Carlos Paz,-31.4241,-64.4978,63.39,56,63,1.99,AR,2021-07-12 22:07:05
Jacareacanga,-6.2222,-57.7528,84.87,45,19,1.61,BR,2021-07-12 22:07:06
Araouane,18.9048,-3.5265,98.74,13,7,4.9,ML,2021-07-12 22:07:06
Jaguariaiva,-24.2511,-49.7058,58.57,59,93,3.04,BR,2021-07-12 22:02:19
Vysokogornyy,50.1167,139.15,70.93,87,13,2.08,RU,2021-07-12 22:07:06
Kastamonu,41.5,33.6667,59.88,91,0,2.89,TR,2021-07-12 22:07:07
Tautira,-17.7333,-149.15,86.02,78,23,17.85,PF,2021-07-12 22:07:07
Guanica,17.9716,-66.908,87.51,72,100,8.99,PR,2021-07-12 22:07:07
